id;reviewer_name;email_address;review_date;over_all_seller_rating;over_all_seller_review;over_all_delivery_rating;over_all_delivery_review;review_as_anonymous;completed_review;last_edited_by;last_edited_when
1;Upgradable invoice transition;Computer Small Rubber Salad;2019-10-21;26963;../fake-data/blob/hipster.txt;17735;../fake-data/blob/hipster.txt;true;false;digital Gorgeous bandwidth;2019-10-21
2;Universal Sleek transmit;Frozen Director;2019-10-21;6176;../fake-data/blob/hipster.txt;16372;../fake-data/blob/hipster.txt;true;false;Intelligent reciprocal;2019-10-21
3;incentivize;Incredible;2019-10-21;98138;../fake-data/blob/hipster.txt;41892;../fake-data/blob/hipster.txt;true;true;panel Principal;2019-10-22
4;Gorgeous Steel Car Steel deposit;South Carolina Functionality Bedfordshire;2019-10-21;48313;../fake-data/blob/hipster.txt;44588;../fake-data/blob/hipster.txt;false;true;matrix Pants;2019-10-21
5;payment Rustic Plastic Towels French Polynesia;Health invoice ADP;2019-10-21;79639;../fake-data/blob/hipster.txt;39029;../fake-data/blob/hipster.txt;true;true;redundant pixel Proactive;2019-10-21
6;Keyboard Checking Account;Baby;2019-10-21;27714;../fake-data/blob/hipster.txt;23647;../fake-data/blob/hipster.txt;false;false;microchip middleware;2019-10-21
7;Chips Implementation calculating;withdrawal enterprise Games;2019-10-21;861;../fake-data/blob/hipster.txt;94549;../fake-data/blob/hipster.txt;false;true;vortals Macao;2019-10-22
8;index;panel metrics port;2019-10-22;98225;../fake-data/blob/hipster.txt;81314;../fake-data/blob/hipster.txt;false;true;pink;2019-10-22
9;Checking Account generating;Money Market Account bus;2019-10-22;66926;../fake-data/blob/hipster.txt;54123;../fake-data/blob/hipster.txt;false;false;Djibouti Franc Generic Frozen Pants;2019-10-21
10;Berkshire supply-chains Rubber;Human;2019-10-21;90445;../fake-data/blob/hipster.txt;45113;../fake-data/blob/hipster.txt;false;true;Oklahoma Borders;2019-10-22
